alpha_type,pool 1,pool 2,pool 3,pool 4,pool 5
alpha0_r_1,11.0812336890345,46.4058094690245,21.2980303590994,2.86664592009554,1.05628770312788
alpha0_r_2,3.40332972804702,3.35627599335858,3.60867374702828,1.95530181001658,2.97429461573505
alpha1_r_1,2.23573757662257,4.90600108467209,4.3754595529157,1.34191428550056,0.799930711546764
alpha1_r_2,1.27152420399658,0.906256606121486,1.31903772876113,1.3109715808256,2.54180394016675
